id_ingrediente,ingrediente
830,meia
831,goiabada cortada
832,ameixa caroco
833,requeijao acucar
834,agua temperatura ambiente
835,ovo ovo neve
836,farinha mandioca crua
837,vinagre vinho branco
838,agua fervida
839,polvo
840,louro po
841,farinha rosca polvilhar
842,papel manteiga
843,paes franceses amanhecido
844,leite molhar biscoito
845,lula
846,abobora moranga
847,farinha linhaca
848,proteina soja
849,temperatura ambiente
850,molho barbecue
851,bolacha
852,ovo neve firme
853,macarrao gravatinha
854,macarrao cabelo anjo
855,cafe oregano
856,soja
857,bolacha champanhe
858,bacon defumado
859,queijo parmessao
860,cerca
861,feijao fradinho
862,calda chocolate
863,cacau
864,limpo
865,tomates italiano
866,chocolate branco derretido
867,cenoura ralo
868,pao italiano
869,gelatinas morango
870,creme leite uht
871,cebolinha salsa
872,abobora japonesa
873,carne bovina moida
874,canela acucar polvilhar
875,creme leite mococa
876,gelatina branca
877,cerejas decorar
878,fatia queijo
879,doce leite cremoso
880,azeite baste
881,chantili
882,cebola triturada
883,picle
884,acucar caramelo
885,limao taiti
886,feijao carioca
887,toucinho
888,tomate pelado
889,gelatina pessego
890,linguica porco
891,banana prata
892,raspa laranja
893,cabeca cebola
894,lasanha
895,glutamato monossodico
896,pao fatiado
897,abobora cabotia
898,mamao papaia
899,suco po morango
900,cebolas branca
901,mostarda dijon
902,girassol
903,calabresa cortada
904,molho coentro
905,azeite qualidade
906,salsinha coentro
907,pimentoes amarelo
908,fermento biologico seco instantaneo
909,cebolas roxa
910,agua mineral
911,caldo galinha carne
912,milho verde ervilha
913,galinha
914,tomate fatiado
915,chocolate padre
916,cafe oleo
917,mussarela ralo
918,batata palha decorar
919,colherzinha
920,chocolate amargo leite
921,azeitonas verdes preta
923,macas vermelha
924,queijo cremoso
925,pronto carne
926,acucar light
927,raspas limoe
928,caldo carne galinha
929,passas caroco
930,pacotinho gelatina
931,creme
932,massa chocolate
933,oregano seco
934,biscoito maizena triturado
935,panetone
936,sardinha molho tomate
937,cogumelos fatiado
938,pepinos conserva
939,cebola batidinha
940,queijo presunto
941,decorar
942,paezinhos amanhecido
943,trigo integral
944,agua baste
945,ovo ovo pincelar
946,presunto peru
947,chocolate po nescau
948,ameixas calda
949,karo
950,passas branca
951,farinha quibe
952,pimentao verde vermelho
953,ameixas pretas caroco
954,mesma leite integral
955,requeijao farinha trigo
956,gelatina po morango
957,acucar canela po polvilhar
958,castanhas caju
959,presunto mussarela
960,gordura hidrogenada
961,suco limao siciliano
962,abobrinha italiana
963,presunto queijo
964,salsa coentro
965,vinagre vinho tinto
966,trigo kibe
967,dose vodka
968,alface crespa
969,raspas chocolate decorar
970,uva italia
971,glacucar
972,pimenta oregano
973,tomates pelado
974,pinhao
975,vinho porto
976,emulsificante sorvete
977,carne siri
978,suco
979,manteiga leite
